speed,density,Latitude(N),Longitude(E),ExpiryTime,IsNegation,Severity,CauseCode,Sub_CauseCode,Reliability,class
20,103,26.148392,91.73171,7977907,0,4,11,4,57,1
30,58,26.14832,91.73159,7626702,0,4,96,5,51,1
25,80,26.148736,91.732151,1535491,0,3,99,7,76,1
21,98,26.148954,91.731924,1810071,0,4,95,2,22,1
23,89,26.148428,91.731787,9830771,0,3,94,5,40,1
28,67,26.148524,91.73159,2649513,0,2,96,5,10,1
20,103,26.148454,91.731688,3840477,0,2,11,4,81,1
26,76,26.148835,91.731984,7428799,0,2,17,6,60,1
31,53,26.148335,91.731762,9914799,0,1,10,7,51,1
32,49,26.148644,91.732082,2270512,0,1,96,5,35,1
28,67,26.14849,91.731603,3370883,0,3,96,5,43,1
24,85,26.148682,91.732274,4153814,0,1,98,3,100,1
21,98,26.148985,91.731979,7973590,0,2,95,2,62,1
32,49,26.148665,91.73212,1660906,0,3,96,5,34,1
32,49,26.148668,91.732102,9384269,0,3,96,5,74,1
27,71,26.148894,91.731589,8990292,0,2,1,8,21,1
26,76,26.148843,91.731949,3842687,0,3,17,6,52,1
26,76,26.148861,91.731957,8326214,0,2,17,6,52,1
30,58,26.148268,91.731579,3706447,0,2,96,5,52,1
22,94,26.148422,91.731679,9506389,0,2,27,4,74,1
22,94,26.148436,91.73168,7824147,0,4,27,4,79,1
22,94,26.148401,91.73165,6645915,0,3,27,4,25,1
28,67,26.14849,91.731552,9274288,0,3,96,5,52,1
28,67,26.14854,91.731584,3775082,0,2,96,5,25,1
29,62,26.148266,91.731631,6951766,0,4,1,8,80,1
27,71,26.148892,91.731617,2386475,0,3,1,8,30,1
31,53,26.148315,91.731721,9375128,0,2,10,7,94,1
31,53,26.148342,91.731779,9724529,0,2,10,7,7,1
27,71,26.14888,91.731643,6324845,0,1,1,8,76,1
20,103,26.148442,91.731741,7770027,0,3,11,4,86,1
33,45,26.148805,91.731861,3687255,0,2,10,7,92,1
21,98,26.148983,91.731966,6326305,0,2,95,2,73,1
21,98,26.148987,91.731992,5144337,0,2,95,2,57,1
24,85,26.148672,91.732269,6681301,0,4,98,3,35,1
25,80,26.148714,91.732117,4859002,0,4,99,7,12,1
36,31,26.148292,91.732142,5452004,0,1,92,4,3,1
26,76,26.148834,91.732015,7306245,0,2,17,6,41,1
24,85,26.148642,91.732263,9102303,0,1,98,3,87,1
22,94,26.148462,91.731632,6963830,0,2,27,4,44,1
27,71,26.148901,91.731629,2371769,0,4,1,8,67,1
25,80,26.148758,91.732127,7317868,0,2,99,7,62,1
28,67,26.148531,91.731583,4024637,0,4,96,5,17,1
23,89,26.148475,91.731725,5994352,0,2,94,5,3,1
26,76,26.148803,91.731957,5251646,0,2,17,6,78,1
34,40,26.148698,91.731911,1456633,0,4,94,5,82,1
28,67,26.148478,91.73156,1619627,0,1,96,5,53,1
28,67,26.148508,91.73156,5391931,0,2,96,5,81,1
23,89,26.148425,91.731712,7789161,0,1,94,5,33,1
35,36,26.148215,91.732125,4515206,0,4,14,2,83,1
31,53,26.148328,91.731718,6040536,0,3,10,7,34,1
30,58,26.148307,91.731555,2670496,0,2,96,5,24,1
27,71,26.148899,91.731616,2990509,0,4,1,8,69,1
33,45,26.148838,91.731871,5372500,0,1,10,7,61,1
22,94,26.148408,91.731641,9956415,0,1,27,4,71,1
37,27,26.148277,91.732232,5493831,0,3,10,7,25,1
24,85,26.148687,91.732328,5882982,0,1,98,3,26,1
29,62,26.148252,91.731588,3069601,0,3,1,8,20,1
20,103,26.148407,91.731754,3246718,0,2,11,4,64,1
37,27,26.148298,91.732155,1111109,0,1,10,7,60,1
21,98,26.148986,91.731956,8519498,0,1,95,2,26,1
25,80,26.148742,91.732116,3409542,0,3,99,7,39,1
20,103,26.148417,91.731714,5634380,0,1,11,4,79,1
25,80,26.148736,91.732137,5992933,0,2,99,7,55,1
30,58,26.148263,91.731546,5014710,0,3,96,5,49,1
25,80,26.148776,91.732119,3814762,0,1,99,7,92,1
24,85,26.148662,91.732333,1251192,0,2,98,3,70,1
21,98,26.149017,91.731957,5463477,0,3,95,2,16,1
34,40,26.14871,91.731917,8027957,0,4,94,5,51,1
22,94,26.148416,91.731702,5801372,0,3,27,4,16,1
24,85,26.148665,91.732303,2020362,0,1,98,3,52,1
31,53,26.148289,91.731756,5821191,0,4,10,7,47,1
32,49,26.148631,91.732116,9758841,0,3,96,5,16,1
34,40,26.148699,91.731909,4871654,0,2,94,5,82,1
22,94,26.148426,91.731663,6302263,0,3,27,4,79,1
26,76,26.148858,91.731999,9287104,0,3,17,6,100,1
36,31,26.148279,91.732151,6897528,0,1,92,4,50,1
31,53,26.14831,91.73176,1887127,0,3,10,7,44,1
31,53,26.14831,91.731773,5530774,0,3,10,7,89,1
24,85,26.148706,91.73234,8674040,0,4,98,3,39,1
27,71,26.148932,91.731651,1608441,0,1,1,8,24,1
26,76,26.14885,91.732011,8269821,0,3,17,6,41,1
30,58,26.148289,91.731553,6284389,0,1,96,5,9,1
29,62,26.148309,91.731649,9024288,0,1,1,8,27,1
29,62,26.148314,91.731601,6648075,0,2,1,8,16,1
34,40,26.148699,91.731932,8618833,0,3,94,5,39,1
20,103,26.148413,91.731725,6868325,0,3,11,4,37,1
35,36,26.148215,91.732142,4852676,0,4,14,2,13,1
25,80,26.148768,91.732138,5089428,0,3,99,7,84,1
36,31,26.148238,91.7322,9685997,0,2,92,4,6,1
28,67,26.148485,91.73159,7178949,0,3,96,5,69,1
25,80,26.148733,91.732108,1125862,0,4,99,7,50,1
22,94,26.148423,91.73163,9500646,0,2,27,4,93,1
20,103,26.148432,91.731747,5822525,0,3,11,4,28,1
32,49,26.148652,91.732112,7814891,0,2,96,5,42,1
32,49,26.148655,91.73214,6197699,0,1,96,5,16,1
27,71,26.14895,91.73159,7747714,0,3,1,8,56,1
21,98,26.148979,91.731928,8653090,0,4,95,2,82,1
25,80,26.148715,91.732131,6165916,0,4,99,7,84,1
23,89,26.148449,91.731778,6362114,0,4,94,5,46,1
20,103,26.14844,91.731744,2271577,0,4,11,4,46,1
22,94,26.148413,91.731663,6851868,0,1,27,4,45,1
31,53,26.148324,91.73176,9924260,0,3,10,7,98,1
31,53,26.14829,91.731717,6737195,0,3,10,7,4,1
21,98,26.149027,91.731925,5015153,0,3,95,2,38,1
23,89,26.148436,91.731765,1390745,0,4,94,5,86,1
26,76,26.148824,91.731947,2213297,0,1,17,6,47,1
29,62,26.148309,91.731591,8162187,0,1,1,8,64,1
35,36,26.148234,91.732097,2513150,0,3,14,2,58,1
24,85,26.148688,91.732311,3148673,0,2,98,3,49,1
21,98,26.148995,91.731936,8205699,0,3,95,2,95,1
30,58,26.14828,91.731602,3350705,0,2,96,5,25,1
25,80,26.148738,91.732133,1665232,0,4,99,7,39,1
27,71,26.148938,91.731651,3913798,0,3,1,8,15,1
20,103,26.14844,91.731767,9005582,0,2,11,4,14,1
23,89,26.148444,91.731755,7314299,0,2,94,5,88,1
33,45,26.148842,91.731852,3994586,0,1,10,7,10,1
21,98,26.149023,91.731935,4606402,0,2,95,2,16,1
23,89,26.148486,91.731715,1566710,0,3,94,5,14,1
21,98,26.149023,91.73192,2915347,0,4,95,2,29,1
31,53,26.148318,91.731719,9043913,0,1,10,7,83,1
30,58,26.148258,91.731619,8644531,0,2,96,5,22,1
25,80,26.148712,91.732111,4160756,0,3,99,7,64,1
25,80,26.148772,91.732092,2604603,0,2,99,7,65,1
33,45,26.148787,91.731854,1119145,0,1,10,7,19,1
31,53,26.148313,91.731776,5079664,0,4,10,7,67,1
31,53,26.148322,91.731765,5241507,0,3,10,7,46,1
23,89,26.148465,91.731733,9249430,0,1,94,5,73,1
24,85,26.14868,91.732313,4633304,0,4,98,3,29,1
26,76,26.148836,91.732017,5027999,0,1,17,6,32,1
24,85,26.148705,91.732279,6587062,0,3,98,3,16,1
25,80,26.14874,91.732095,3514113,0,4,99,7,80,1
28,67,26.148473,91.731606,8356116,0,1,96,5,81,1
32,49,26.148646,91.732108,1074492,0,3,96,5,19,1
29,62,26.148281,91.731648,4069630,0,3,1,8,12,1
24,85,26.148641,91.732272,4989532,0,2,98,3,20,1
31,53,26.148296,91.731717,8703542,0,3,10,7,76,1
33,45,26.148803,91.731852,6164116,0,1,10,7,37,1
30,58,26.148272,91.731573,1809876,0,1,96,5,27,1
20,103,26.148429,91.731738,5582987,0,4,11,4,69,1
22,94,26.148427,91.731652,9426895,0,2,27,4,36,1
27,71,26.148914,91.731587,7463493,0,3,1,8,35,1
28,67,26.148501,91.731609,1201937,0,2,96,5,1,1
35,36,26.148192,91.732079,7013577,0,3,14,2,50,1
24,85,26.14871,91.732298,9787942,0,4,98,3,5,1
20,103,26.148465,91.731741,7950791,0,3,11,4,41,1
22,94,26.148461,91.731673,3122455,0,1,27,4,94,1
27,71,26.148958,91.731607,2325037,0,3,1,8,1,1
22,94,26.14841,91.73168,5405698,0,4,27,4,43,1
34,40,26.148741,91.731902,6680497,0,4,94,5,35,1
33,45,26.14882,91.731858,8979469,0,1,10,7,35,1
20,103,26.148438,91.731717,7016895,0,2,11,4,97,1
39,18,26.148583,91.731539,1060655,0,2,91,8,8,1
28,67,26.148496,91.731565,1266296,0,3,96,5,88,1
20,103,26.148419,91.731736,7162692,0,1,11,4,37,1
21,98,26.148952,91.731919,2422442,0,4,95,2,80,1
26,76,26.148845,91.731988,4320934,0,2,17,6,66,1
35,36,26.148222,91.732123,2999474,0,1,14,2,56,1
32,49,26.148649,91.732069,3974799,0,2,96,5,48,1
29,62,26.148272,91.73162,1792249,0,1,1,8,35,1
27,71,26.14891,91.731606,1541854,0,3,1,8,73,1
35,36,26.148211,91.732143,4509221,0,3,14,2,80,1
23,89,26.148422,91.731759,2650689,0,3,94,5,31,1
23,89,26.148452,91.731733,8007658,0,4,94,5,43,1
34,40,26.148715,91.731899,5659457,0,1,94,5,53,1
22,94,26.148461,91.731672,1886591,0,3,27,4,67,1
29,62,26.14827,91.731585,1176645,0,2,1,8,55,1
25,80,26.148734,91.73213,3821025,0,3,99,7,71,1
28,67,26.1485,91.73161,4090303,0,4,96,5,89,1
35,36,26.148247,91.7321,6385787,0,3,14,2,80,1
23,89,26.14845,91.731726,1183276,0,2,94,5,87,1
31,53,26.14832,91.731762,4322825,0,3,10,7,72,1
26,76,26.148805,91.732026,3531237,0,4,17,6,51,1
32,49,26.148667,91.732127,5576145,0,3,96,5,97,1
38,22,26.148367,91.732137,6783778,0,4,95,2,20,1
26,76,26.148786,91.732016,5827406,0,2,17,6,11,1
26,76,26.14884,91.731995,6140932,0,4,17,6,47,1
27,71,26.148911,91.731639,7920686,0,1,1,8,27,1
35,36,26.148187,91.732079,4927682,0,1,14,2,11,1
23,89,26.148494,91.731782,6459523,0,2,94,5,87,1
26,76,26.14883,91.732019,6889951,0,1,17,6,73,1
31,53,26.148336,91.731777,9875044,0,2,10,7,38,1
30,58,26.14825,91.731563,6381203,0,4,96,5,94,1
27,71,26.148909,91.731634,9257637,0,4,1,8,49,1
37,27,26.148311,91.732218,2923403,0,2,10,7,60,1
20,103,26.1484,91.731694,2356721,0,1,11,4,13,1
36,31,26.148294,91.732161,6084456,0,1,92,4,28,1
21,98,26.149019,91.731921,1737017,0,1,95,2,99,1
20,103,26.148414,91.731708,2957933,0,4,11,4,8,1
30,58,26.14828,91.731578,6000530,0,4,96,5,87,1
22,94,26.148433,91.73168,3810785,0,2,27,4,73,1
34,40,26.148698,91.731904,8014697,0,1,94,5,1,1
24,85,26.148692,91.732306,5132309,0,2,98,3,59,1
20,103,26.148391,91.731715,8470393,0,1,11,4,4,1
20,103,26.148443,91.731767,2573644,0,2,11,4,28,1
27,71,26.148916,91.731629,7758435,0,3,1,8,16,1
39,18,26.148577,91.731513,8311199,0,1,91,8,37,1
22,94,26.148442,91.731652,2962311,0,4,27,4,0,1
23,89,26.148431,91.731712,3007378,0,3,94,5,5,1
23,89,26.148439,91.731759,8904110,0,2,94,5,56,1
32,49,26.14862,91.732137,6887421,0,4,96,5,63,1
25,80,26.148742,91.732145,6524308,0,1,99,7,84,1
27,71,26.148941,91.731603,3289849,0,3,1,8,78,1
26,76,26.148822,91.731964,5660919,0,3,17,6,94,1
29,62,26.148287,91.731585,4939284,0,3,1,8,43,1
24,85,26.148638,91.732339,4244376,0,2,98,3,22,1
23,89,26.148475,91.731715,1343040,0,1,94,5,56,1
33,45,26.148837,91.731815,6526314,0,3,10,7,50,1
24,85,26.148695,91.732317,5950278,0,4,98,3,88,1
32,49,26.148646,91.732123,8519068,0,3,96,5,97,1
21,98,26.149,91.731989,1326084,0,1,95,2,41,1
24,85,26.148709,91.7323,6473077,0,3,98,3,15,1
21,98,26.149001,91.731932,3776488,0,2,95,2,70,1
31,53,26.148289,91.731733,9384147,0,3,10,7,76,1
37,27,26.148295,91.732202,1114322,0,4,10,7,17,1
23,89,26.148465,91.731724,1683123,0,1,94,5,8,1
26,76,26.148858,91.731956,1690988,0,3,17,6,68,1
21,98,26.148975,91.731939,8152085,0,3,95,2,66,1
29,62,26.148314,91.731627,9102905,0,3,1,8,54,1
36,31,26.1483,91.732122,2062078,0,3,92,4,42,1
37,27,26.148275,91.732192,1149931,0,2,10,7,46,1
21,98,26.149026,91.731969,2147816,0,2,95,2,99,1
25,80,26.148741,91.732104,8858648,0,3,99,7,20,1
23,89,26.148448,91.731717,7280972,0,1,94,5,4,1
29,62,26.148253,91.731589,2693128,0,3,1,8,4,1
29,62,26.148254,91.731641,6325372,0,4,1,8,91,1
21,98,26.148967,91.731924,6690060,0,1,95,2,73,1
22,94,26.148443,91.731649,8464719,0,3,27,4,97,1
22,94,26.148413,91.731662,2676960,0,3,27,4,64,1
24,85,26.148699,91.73227,9989932,0,3,98,3,100,1
34,40,26.148747,91.731903,4493936,0,1,94,5,74,1
23,89,26.148447,91.731725,9958773,0,1,94,5,31,1
31,53,26.148324,91.731749,3532926,0,3,10,7,57,1
22,94,26.148414,91.731633,2980719,0,3,27,4,56,1
38,22,26.148378,91.732132,9191614,0,4,95,2,33,1
21,98,26.148964,91.731989,7150629,0,2,95,2,81,1
37,27,26.148307,91.732232,8549856,0,1,10,7,84,1
22,94,26.148474,91.731695,3013739,0,1,27,4,42,1
20,103,26.148419,91.731729,3850085,0,2,11,4,19,1
24,85,26.148706,91.732271,8496603,0,4,98,3,90,1
25,80,26.148782,91.732149,2341617,0,4,99,7,85,1
24,85,26.148651,91.732281,4758771,0,2,98,3,3,1
21,98,26.148984,91.731954,7794982,0,4,95,2,59,1
22,94,26.148473,91.731656,6661935,0,2,27,4,42,1
28,67,26.1485,91.731564,7391590,0,4,96,5,80,1
39,18,26.148635,91.731519,5412397,0,4,91,8,16,1
33,45,26.14878,91.731838,7304540,0,4,10,7,65,1
26,76,26.148819,91.732002,8662253,0,1,17,6,67,1
26,76,26.148829,91.732014,9967115,0,3,17,6,81,1
29,62,26.148315,91.731591,8236261,0,3,1,8,70,1
27,71,26.148889,91.731628,9184619,0,4,1,8,77,1
21,98,26.149013,91.731943,2044553,0,2,95,2,50,1
33,45,26.148835,91.73186,5987479,0,4,10,7,41,1
36,31,26.148302,91.732183,8945193,0,2,92,4,54,1
32,49,26.148609,91.73209,6240014,0,4,96,5,44,1
32,49,26.148659,91.732071,8041524,0,2,96,5,64,1
37,27,26.148304,91.732158,3635459,0,3,10,7,32,1
32,49,26.148635,91.732098,1026033,0,4,96,5,22,1
25,80,26.148751,91.732111,9840612,0,1,99,7,38,1
22,94,26.148429,91.731675,4531655,0,4,27,4,44,1
23,89,26.14843,91.73173,3881832,0,2,94,5,12,1
38,22,26.148366,91.732091,3941389,0,4,95,2,22,1
21,98,26.148953,91.731942,5434080,0,4,95,2,78,1
30,58,26.148251,91.73161,9498876,0,4,96,5,25,1
27,71,26.148895,91.731601,1561556,0,4,1,8,24,1
27,71,26.148899,91.731615,5129671,0,4,1,8,44,1
35,36,26.148241,91.732134,2109554,0,3,14,2,31,1
25,80,26.148737,91.732089,3348327,0,4,99,7,46,1
25,80,26.148729,91.732118,7591962,0,4,99,7,1,1
21,98,26.149027,91.731944,1756060,0,3,95,2,40,1
26,76,26.148862,91.731946,5144558,0,1,17,6,84,1
27,71,26.148904,91.731586,4584419,0,2,1,8,96,1
25,80,26.148759,91.732148,9934586,0,1,99,7,74,1
34,40,26.148685,91.731906,5841913,0,3,94,5,25,1
21,98,26.149025,91.731958,7657903,0,2,95,2,1,1
22,94,26.148404,91.731681,9668335,0,4,27,4,3,1
27,71,26.148895,91.731601,3501236,0,3,1,8,45,1
21,98,26.149008,91.73196,4450342,0,1,95,2,55,1
22,94,26.148409,91.731639,9249063,0,4,27,4,97,1
22,94,26.148404,91.731684,7231028,0,4,27,4,67,1
21,98,26.149026,91.731993,3471214,0,1,95,2,43,1
23,89,26.148439,91.731778,3038292,0,2,94,5,42,1
20,103,26.148461,91.731688,1629461,0,2,11,4,68,1
32,49,26.148634,91.732099,8162683,0,4,96,5,88,1
20,103,26.148461,91.731699,5868946,0,2,11,4,11,1
33,45,26.148789,91.73188,4576755,0,4,10,7,36,1
22,94,26.148411,91.731628,5025791,0,4,27,4,99,1
25,80,26.148727,91.732088,9100640,0,1,99,7,35,1
29,62,26.148266,91.731608,1570671,0,1,1,8,71,1
32,49,26.148645,91.732087,5408595,0,2,96,5,58,1
21,98,26.148966,91.73193,1134103,0,4,95,2,39,1
28,67,26.148522,91.731567,4731141,0,4,96,5,76,1
20,103,26.148427,91.731758,5003096,0,3,11,4,46,1
27,71,26.148909,91.731588,1223812,0,3,1,8,4,1
30,58,26.148305,91.731549,5314422,0,3,96,5,31,1
28,67,26.14852,91.731564,9120159,0,3,96,5,45,1
39,18,26.148611,91.731523,1439925,0,4,91,8,84,1
21,98,26.148993,91.731959,4554305,0,3,95,2,77,1
28,67,26.148538,91.731598,3929536,0,2,96,5,28,1
37,27,26.148303,91.732181,3058278,0,3,10,7,39,1
32,49,26.148637,91.732102,5273754,0,4,96,5,77,1
26,76,26.14884,91.731996,1315861,0,4,17,6,44,1
33,45,26.148789,91.731836,6997912,0,2,10,7,82,1
24,85,26.148658,91.732291,6381186,0,1,98,3,39,1
29,62,26.148295,91.731579,6243124,0,2,1,8,24,1
27,71,26.148896,91.731647,3450240,0,1,1,8,44,1
32,49,26.14863,91.732074,5367303,0,3,96,5,34,1
28,67,26.148474,91.731572,4966401,0,1,96,5,49,1
21,98,26.148972,91.731977,3496976,0,4,95,2,7,1
20,103,26.148391,91.731714,7884964,0,2,11,4,95,1
24,85,26.148692,91.732322,4554980,0,1,98,3,78,1
23,89,26.148417,91.731724,6493683,0,2,94,5,27,1
24,85,26.148648,91.732275,8736488,0,2,98,3,71,1
32,49,26.148659,91.732084,9447655,0,2,96,5,96,1
36,31,26.148254,91.732153,3905477,0,1,92,4,61,1
27,71,26.148943,91.731636,4730456,0,1,1,8,29,1
24,85,26.14867,91.732321,1074604,0,3,98,3,39,1
22,94,26.148435,91.731678,3913917,0,4,27,4,21,1
25,80,26.148733,91.732102,6406548,0,2,99,7,37,1
24,85,26.148666,91.732273,1513157,0,1,98,3,82,1
22,94,26.148441,91.731673,9033969,0,2,27,4,58,1
26,76,26.148831,91.732006,4069739,0,4,17,6,100,1
23,89,26.148427,91.731752,6431571,0,2,94,5,74,1
22,94,26.148403,91.73166,1382728,0,3,27,4,4,1
26,76,26.148863,91.732022,1578751,0,1,17,6,43,1
20,103,26.148446,91.731745,3832293,0,3,11,4,1,1
24,85,26.148671,91.732338,4228411,0,3,98,3,56,1
20,103,26.148438,91.731715,9960249,0,3,11,4,26,1
27,71,26.148893,91.731593,6439043,0,1,1,8,61,1
35,36,26.148256,91.732139,7455077,0,1,14,2,91,1
27,71,26.148917,91.731624,4134026,0,2,1,8,56,1
20,103,26.148415,91.731748,5147191,0,2,11,4,81,1
30,58,26.148251,91.731592,4963859,0,3,96,5,50,1
34,40,26.148701,91.731969,9602631,0,3,94,5,6,1
21,98,26.148984,91.731921,5044438,0,2,95,2,100,1
22,94,26.148419,91.731638,8146687,0,1,27,4,15,1
25,80,26.148721,91.732128,3082782,0,3,99,7,11,1
23,89,26.148467,91.731789,8542866,0,2,94,5,72,1
26,76,26.148856,91.731986,5286637,0,3,17,6,64,1
27,71,26.148941,91.731592,6768897,0,2,1,8,1,1
28,67,26.148542,91.731562,6807569,0,3,96,5,27,1
37,27,26.148301,91.73223,4559860,0,4,10,7,98,1
39,18,26.148619,91.731517,8976123,0,4,91,8,13,1
23,89,26.148436,91.73176,8447424,0,1,94,5,21,1
28,67,26.148545,91.731579,6531533,0,3,96,5,36,1
39,18,26.148597,91.731528,1661541,0,4,91,8,50,1
36,31,26.148243,91.73219,8090746,0,2,92,4,44,1
30,58,26.148264,91.731593,2438311,0,2,96,5,45,1
38,22,26.148372,91.732123,3855758,0,2,95,2,31,1
20,103,26.148416,91.731763,1363086,0,2,11,4,83,1
25,80,26.148745,91.732153,6920027,0,2,99,7,94,1
21,98,26.148984,91.731924,5729514,0,1,95,2,88,1
28,67,26.148474,91.731604,8646330,0,2,96,5,83,1
23,89,26.148493,91.731745,1300851,0,2,94,5,78,1
27,71,26.14889,91.731596,8563067,0,4,1,8,90,1
32,49,26.148651,91.732111,8794474,0,4,96,5,6,1
22,94,26.148432,91.731648,8089035,0,2,27,4,9,1
39,18,26.148591,91.73158,6249451,0,3,91,8,24,1
25,80,26.148709,91.732117,1108207,0,4,99,7,32,1
26,76,26.148801,91.731966,6166001,0,2,17,6,38,1
33,45,26.148811,91.731852,5070440,0,3,10,7,91,1
23,89,26.148431,91.731773,3384326,0,4,94,5,57,1
32,49,26.148658,91.73209,4101161,0,4,96,5,19,1
21,98,26.148956,91.731946,1236910,0,2,95,2,44,1
27,71,26.148903,91.731576,7089349,0,2,1,8,76,1
23,89,26.148495,91.731736,7715718,0,4,94,5,32,1
31,53,26.148314,91.731718,7831142,0,2,10,7,71,1
30,58,26.148266,91.731559,5960236,0,3,96,5,55,1
34,40,26.1487,91.731919,5720954,0,3,94,5,79,1
38,22,26.148316,91.732078,6820723,0,1,95,2,59,1
39,18,26.1486,91.731515,2006655,0,3,91,8,97,1
21,98,26.149025,91.731987,6489126,0,3,95,2,81,1
34,40,26.148745,91.731955,7878675,0,4,94,5,50,1
20,103,26.148405,91.731693,7786438,0,4,11,4,83,1
22,94,26.148471,91.731632,4377687,0,1,27,4,86,1
33,45,26.14879,91.731837,5395777,0,2,10,7,100,1
34,40,26.148727,91.73193,8060621,0,2,94,5,82,1
28,67,26.148499,91.731578,9928205,0,1,96,5,27,1
30,58,26.14825,91.731611,8144309,0,1,96,5,52,1
20,103,26.148423,91.731702,5525897,0,4,11,4,11,1
26,76,26.148814,91.731958,7435393,0,2,17,6,89,1
34,40,26.148694,91.731943,8630635,0,4,94,5,37,1
22,94,26.148414,91.731665,7875037,0,1,27,4,22,1
24,85,26.148644,91.732338,2547155,0,2,98,3,6,1
38,22,26.148355,91.732133,2954580,0,2,95,2,60,1
21,98,26.14899,91.731937,3764117,0,4,95,2,43,1
31,53,26.148289,91.731717,7219178,0,2,10,7,66,1
29,62,26.148272,91.731612,6561537,0,1,1,8,81,1
30,58,26.148321,91.73157,1870566,0,3,96,5,69,1
27,71,26.148953,91.731599,1419526,0,3,1,8,31,1
30,58,26.148281,91.731606,1302079,0,3,96,5,87,1
29,62,26.14825,91.731637,5921328,0,1,1,8,7,1
23,89,26.148423,91.731718,7774712,0,4,94,5,95,1
21,98,26.148968,91.731935,9002650,0,1,95,2,17,1
27,71,26.148914,91.731606,9633163,0,2,1,8,15,1
21,98,26.149021,91.731962,4374272,0,4,95,2,95,1
21,98,26.148955,91.731917,3641125,0,2,95,2,73,1
36,31,26.148259,91.732168,2545037,0,2,92,4,83,1
26,76,26.148793,91.732019,1213770,0,2,17,6,49,1
26,76,26.148845,91.732007,9939033,0,3,17,6,1,1
33,45,26.148787,91.731838,7704217,0,2,10,7,84,1
22,94,26.148469,91.731627,6126804,0,3,27,4,61,1
31,53,26.148303,91.731777,2037229,0,1,10,7,55,1
29,62,26.148295,91.731591,7203490,0,1,1,8,18,1
35,36,26.148208,91.73207,7847947,0,1,14,2,19,1
